title,url,current_price,Noise Cancellation,Water Resistant,Charging Interface,Bluetooth Version,Microphone,Capacity for buds,Capacity for Case
The Clear Sound,https://priceoye.pk/wireless-earbuds/assorted/m10-tws-wireless-bluetooth-earbuds,749,No,Yes,Micro-USB,V5.1,Yes,50mAh,3500mAh
Sound Style T10 Stereo Earbuds,https://priceoye.pk/wireless-earbuds/assorted/sound-style-t10-stereo-earbuds,1699,No,No,Type-C,V5.1,Yes,35mAh,300mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
A6s Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/a6s-wireless-bluetooth-earbuds,699,No,Yes,Micro-USB,V5.0,Yes,No,No
F9 Airdots Pro with Power Bank,https://priceoye.pk/wireless-earbuds/assorted/f9-airdots-pro-with-power-bank,1299,No,Yes,No,V5.1,Yes,No,2000mAh
Immersive Gaming Audio,https://priceoye.pk/wireless-earbuds/assorted/m90-pro-tws-gaming-earbuds,1149,No,Yes,Micro-USB,V5.2,yes,No,1200 mAh
QCY MeloBuds Neo T31,https://priceoye.pk/wireless-earbuds/qcy/qcy-melobuds-neo-t31,3999,No,Yes,No,V5.3,Yes,No,400mAh
Faster S5 ANC Special Edition Wireless Headphones,https://priceoye.pk/wireless-earbuds/faster/faster-s5-anc-special-edition-wireless-headphones,4999,Yes,No,Type-C,V5.3,Yes,30mAh,No
N35 Gaming Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/n35-gaming-wireless-earbuds,1499,No,Yes,No,V5.2,Yes,55mAh,300mAh
Lenovo HE05 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-he05-tws-wireless-earbuds,915,No,Yes,Micro-USB,V5.1,Yes,80mAh,No
Airs pro 2 Tws wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/airs-pro-2-tws-wireless-earbuds,749,No,No,Lightning,V5.0,Yes,35mAh,300mAh
CMF Nothing Wireless Earbuds,https://priceoye.pk/wireless-earbuds/nothing/cmf-wireless-earbuds,9499,Yes,Yes,Type-C,V5.3,Yes,45 mAh,460 mAh
Apple AirPods Pro (2nd generation) Type C,https://priceoye.pk/wireless-earbuds/apple/apple-airpods-pro-2nd-generation-type-c,55999,Yes,Yes,No,V5.3,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Apple AirPods 4,https://priceoye.pk/wireless-earbuds/apple/apple-airpods-4,35499,No,Yes,Type-C,V5.3,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Ronin R-7080 NOX Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-7080-nox-earbuds,5949,Yes,Yes,Type-C,V5.4,Yes,40mAh,400mAh
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Air 39 Gaming Earbuds,https://priceoye.pk/wireless-earbuds/assorted/air-39-gaming-earbuds,749,No,Yes,No,V5.3,Yes,No,230mAH
QCY ArcBuds Lite ENC Wireless Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-arcbuds-lite-wireless-earbuds,3669,Yes,Yes,Type-C,v5.3,Yes,No,380mAh
Audio for Immersive Games,https://priceoye.pk/wireless-earbuds/assorted/m25-gaming-wireless-earbuds,1089,No,Yes,Micro-USB,V5.2,Yes,No,2000mAh
Ronin R-190 Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-190-earbuds,3999,No,Yes,Type-C,v5.3,Yes,30*2mAh,350mAh
Lenovo HE05X Neckband Wireless,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-he05x-neckband-wireless,1049,No,Yes,Micro-USB,v5.0,Yes,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Ronin R-7010 Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-7010-earbud,4899,No,Yes,No,V5.3,Yes,30 mAh,400mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Anker R50i Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-r50i-earbuds,4299,No,Yes,No,v5.3,Yes,No,No
Audio for Immersive Games,https://priceoye.pk/wireless-earbuds/assorted/i7s-bluetooth-wireless-earbuds,849,No,Yes,Micro-USB,V5.0,Yes,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Samsung Galaxy Buds 3 Pro,https://priceoye.pk/wireless-earbuds/samsung/samsung-galaxy-buds3-pro,32499,Yes,Yes,Type-C,V5.3,No,53 mAh,515 mAh
Airox E5 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/airox/airox-e5-wireless-earbuds,2599,No,No,No,V5.1,Yes,No,No
Anker (A3994H21) Soundcore K20i Wireless Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-a3994h21-soundcore-k20i-wireless-earbuds,4399,No,Yes,Type-C,V5.3,No,30 mAh,No
i15 Tws Bluetooth Earphones,https://priceoye.pk/wireless-earbuds/assorted/i15-tws-bluetooth-earphones,951,No,Yes,Lightning,V5.0,Yes,No,No
Making compatibility a must feature,https://priceoye.pk/wireless-earbuds/assorted/m20-tws-wireless-bluetooth-earbuds,1099,No,Yes,Micro-USB,V5.1,Yes,No,No
Lenovo XT88 TWS Wireless Earphone,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-xt88-tws-wireless-earphone,3099,No,No,No,V5.3,Yes,No,No
PW-24 With Silicon Pouch TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pw-24-with-silicon-pouch-tws-wireless-earbuds,1149,Yes,Yes,Type-C,V5.3,Yes,No,No
F9 Pro Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/f9-pro-wireless-bluetooth-earbuds,1199,No,Yes,Type-C,v5.0,Yes,No,300mAh
M19 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m19-earbuds-tws-earphone,1199,No,Yes,Type-C,v5.0,Yes,50 mAh,2000 mAh
BQ10 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/bq10-wireless-earbuds,1349,No,Yes,No,V5.3,Yes,No,No
Zero Atom ZDots Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-atom-zdots-earbuds,4299,Yes,Yes,Type-C,V5.3,Yes,40*2mAh,380mAh
Anker A20i True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-a20i-true-wireless-earbuds,4499,No,Yes,Type-C,V5.3,Yes,No,No
Tecno Sonic 1 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/tecno/tecno-sonic-1-wireless-earbuds,7500,Yes,No,Type-C,V5.3,Yes,45mAh,800mAh
Ronin Cameo R-7045 OWS Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-cameo-r-7045-ows-earbuds,4999,No,Yes,Type-C,V5.3,Yes,No,400mAh
Anker A30i ANC Wireless Bluetooth Earbuds A3958H21,https://priceoye.pk/wireless-earbuds/anker/anker-a30i-anc-wireless-bluetooth-earbuds-a3958h21,6799,Yes,Yes,No,V5.4,Yes,No,No
Audionic Wireless Airbuds 425,https://priceoye.pk/wireless-earbuds/audionic/audionic-wireless-airbuds-425,3649,Yes,Yes,Type-C,v5.3,Yes,40*2mAh,300mAh
Ambie Sound Earcuffs wireless Earphone,https://priceoye.pk/wireless-earbuds/assorted/ambie-sound-earcuffs-wireless-earphone,1699,Yes,Yes,No,V5.3,Yes,35mAh,270mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Airox E6 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/airox/airox-e6-wireless-earbuds,2699,No,No,No,V5.1,Yes,No,No
Anker Soundcore Liberty 4 NC Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-liberty-4-nc-earbuds,15799,Yes,Yes,Type-C,V5.1,Yes,No,No
Excellent Audio Clarity,https://priceoye.pk/wireless-earbuds/assorted/i14-tws-wireless-earpods,949,No,Yes,Micro-USB,V5.0,Yes,No,No
Airox Bluetooth Neck Band BT06,https://priceoye.pk/wireless-earbuds/airox/airox-bluetooth-neck-band-bt06,899,No,Yes,Micro-USB,V4.1,Yes,No,No
Xiaomi Redmi Buds 6 Lite,https://priceoye.pk/wireless-earbuds/xiaomi/xiaomi-redmi-buds-6-lite,5499,Yes,Yes,Type-C,V5.3,No,45 mAh,480 mAh
Samsung Galaxy Buds FE,https://priceoye.pk/wireless-earbuds/samsung/samsung-galaxy-buds-fe,14499,Yes,No,Type-C,v5.2,Yes,60*2mAh,479 mAh
Lenovo Thinkplus Livepods XT81,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-thinkplus-livepods-xt81,2599,No,Yes,Type-C,V5.3,Yes,30 mAh,250mAh
Airox HP-04 Wireless Headphones,https://priceoye.pk/wireless-earbuds/airox/airox-hp-04-wireless-headphones,3499,No,No,Type-C,V5.3,Yes,No,No
Nothing CMF Buds 2,https://priceoye.pk/wireless-earbuds/nothing/nothing-cmf-buds-2,12499,Yes,Yes,Type-C,V5.4,Yes,53mAh,460mAh
Aukey TWS Wireless Earbuds (EP-T25),https://priceoye.pk/wireless-earbuds/aukey/aukey-tws-wireless-earbuds,3299,No,Yes,No,V5.0,Yes,40mAh,400mAh
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
M04 TWS Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m04-tws-wireless-bluetooth-earbuds,899,Yes,No,Type-C,V5.3,Yes,40mAh,300mAh
Airox E9 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/airox/airox-e9-wireless-earbuds,2599,No,No,No,V5.1,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Anker Soundcore Life U2i Wireless Neckband (A3213H12),https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-life-u2i-wireless-neckband-a3213h12,4799,Yes,Yes,No,V5.0,Yes,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
OnePlus Bullets Wireless Z2 ANC Neckband,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-bullets-wireless-z2-anc-neckband,7899,Yes,Yes,Type-C,V5.2,No,No,220mAH
Airox True Wireless Earbuds OWS-4,https://priceoye.pk/wireless-earbuds/airox/airox-true-wireless-earbuds-qws-4,2949,No,Yes,Type-C,V5.1,Yes,30 mAh,No
Airox E8 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/airox/airox-e8-wireless-earbuds,2499,No,No,No,V5.1,Yes,No,No
PW 30 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pw-30-tws-wireless-earbuds,1199,Yes,Yes,Type-C,V5.3,Yes,40mAh,300mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Yolo Yopod Active Plus True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/yolo/yolo-yopod-active-plus-true-wireless-earbuds,3799,Yes,Yes,Type-C,V5.3,No,30 mAh,No
MINISO MCT07 Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/miniso-mct07-wireless-bluetooth-earbuds,1399,Yes,No,Type-C,V5.3,Yes,No,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
TWS-K46 Earbuds with Watch Gifts Set,https://priceoye.pk/wireless-earbuds/assorted/tws-k46-earbuds-with-watch-gifts-set,1849,No,No,Type-C,v5.2,Yes,30mAh,No
Sony WH-CH720N Wireless Headphones,https://priceoye.pk/wireless-earbuds/sony/sony-wh-ch720n-wireless-headphones,21799,Yes,No,Type-C,v5.2,Yes,No,No
Borofone BW39 True Wireless Bluetooth Earphone,https://priceoye.pk/wireless-earbuds/borofone/borofone-bw39-true-wireless-bluetooth-earphone,3299,No,No,Type-C,V5.3,No,30 mAh,No
Faster S5 ANC Over-Ear Wireless Headphone,https://priceoye.pk/wireless-earbuds/faster/faster-s5-anc-over-ear-wireless-headphones,4999,Yes,No,Type-C,V5.3,No,30 mAh,No
Borofone BE55 Perfect TWS Earbuds,https://priceoye.pk/wireless-earbuds/borofone/borofone-be55-perfect-tws-earbuds,3599,No,No,Type-C,V5.1,No,30 mAh,No
Audionic Airbud 625 Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-625-pro-wireless-earbuds,3699,Yes,Yes,Type-C,v5.3,Yes,35mAh,320mAh
REMAX RB-S5 MAGNETIC SPORTY BLUETOOTH WIRELESS IN-EAR Headphone,https://priceoye.pk/wireless-earbuds/assorted/remax-rb-s5-magnetic-sporty-bluetooth-wireless-in-ear-necklace,1699,No,No,No,V4.1,Yes,74mAh,No
Samsung Galaxy Buds Core,https://priceoye.pk/wireless-earbuds/samsung/samsung-galaxy-buds-core,11999,Yes,Yes,Type-C,V5.4,Yes,65mAh,500mAh
Morui MB-01 Crystal Earbuds,https://priceoye.pk/wireless-earbuds/morui/morui-mb-01-crystal-earbuds,1599,Yes,No,Type-C,V5.3,Yes,No,No
Zero Robo Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-robo-earbuds,11949,Yes,Yes,Type-C,V5.3,Yes,No,No
PW23 With Pouch Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pw23-with-pouch-wireless-tws-earbuds,1199,No,Yes,Type-C,V5.0,Yes,40mAh,400mAh
Oppo Enco Air 2I Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/oppo/oppo-enco-air-2i-wireless-tws-earbuds,6099,No,Yes,Type-C,V5.2,Yes,40mAh,460mAh
Pro Air Open Ear Sports Neckband Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pro-air-open-ear-sports-neckband-wireless-earbuds,1699,No,Yes,Type-C,V5.3,Yes,70mAh,No
TF20 Box 3in1 Earbuds With Power Bank & Multimedia Display,https://priceoye.pk/wireless-earbuds/assorted/tf20-box-3in1-earbuds-with-power-bank-multimedia-display,3699,Yes,Yes,Type-C,V5.4,Yes,No,8000mAh
Lenovo LP80 Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-lp80-pro-wireless-earbuds,3299,Yes,No,No,V5.3,Yes,25mAh,280mAh
Audionic Airbud 735 Ion with ANC,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-735-ion-with-anc,4989,Yes,No,Type-C,V5.4,Yes,40mAh,400mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Airox Neckband Wireless Headphones NB-08,https://priceoye.pk/wireless-earbuds/airox/airox-neckband-wireless-headphones-nb-08,1799,No,Yes,Type-C,V5.2,Yes,No,No
Anker Soundcore Q11i Wireless Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-q11i-wireless-headphones,11799,No,No,Type-C,V5.3,Yes,800mAh,No
Redmi Buds 4,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-4,5999,Yes,Yes,Type-C,v5.2,Yes,No,No
Audionic Trance Airbud 810 With ANC,https://priceoye.pk/wireless-earbuds/audionic/audionic-trance-airbud-810-with-anc,9989,Yes,Yes,Type-C,V5.4,Yes,40mAh,600mAh
Zero Z-811 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-z-811-wireless-earbuds,4449,Yes,Yes,Type-C,v5.3,Yes,40*2mAh,400mAh
Lunar Ultra Pods Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/lunar/lunar-ultra-pods-pro-wireless-earbuds,2699,Yes,No,Type-C,V5.3,Yes,30mAh,300mAh
Sony WH-1000XM6 Wireless Headphones,https://priceoye.pk/wireless-earbuds/sony/sony-wh-1000xm6-wireless-headphones,107999,Yes,No,Type-C,V5.3,Yes,No,No
Oraimo FreePods Lite True Wireless Earbuds (OTW-330),https://priceoye.pk/wireless-earbuds/oraimo/oraimo-freepods-lite-true-wireless-earbuds-otw-330,3299,Yes,Yes,Type-C,V5.3,Yes,No,No
Q86 Camera Design TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/q86-camera-design-tws-wireless-earbuds,1449,No,Yes,Type-C,V5.4,Yes,No,300mAh
YD MINI Wireless Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/yd-mini-wireless-bluetooth-earbuds,1449,No,Yes,Type-C,V5.3,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
UB-20 With Pouch Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/ub-20-with-pouch-wireless-tws-earbuds,1249,No,Yes,Type-C,V5.3,Yes,No,No
Ronin Snap R-7070 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-snap-r-7070-wireless-earbuds,4399,No,Yes,Type-C,V5.3,Yes,No,280mAh
Sony WH-CH520 Wireless Headphones,https://priceoye.pk/wireless-earbuds/sony/sony-wh-ch520-wireless-headphones,8999,No,No,Type-C,v5.2,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Airox HP-03 Headphones,https://priceoye.pk/wireless-earbuds/airox/airox-hp-03-headphones,3899,No,No,Type-C,V5.3,Yes,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Air 31 TWS Transparent Earbuds,https://priceoye.pk/wireless-earbuds/assorted/air-31-tws-transparent-earbuds,699,No,Yes,Type-C,V5.3,Yes,No,No
Audionic Airbud 550,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-550,3799,Yes,Yes,Type-C,V5.3,Yes,40mAh,300mAh
Audionic Trance Airbud 815 With ANC,https://priceoye.pk/wireless-earbuds/audionic/audionic-trance-airbud-815-with-anc,5499,Yes,Yes,Type-C,V5.4,Yes,40mAh,800mAh
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Airox Neckband Wireless Headphones NB-07,https://priceoye.pk/wireless-earbuds/airox/airox-neckband-wireless-headphones-nb-07,1799,No,Yes,Type-C,V5.2,Yes,No,No
Dany Airdots 110 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/dany/dany-airdots-110-wireless-earbuds,3199,Yes,Yes,Type-C,v5.0,Yes,30*2mAh,300mAh
Anker Soundcore Space Q45 Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-life-q45-headphones,26399,Yes,Yes,Type-C,Yes,Yes,No,No
Audionic Airbud Aircuffs Earbuds,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-aircuffs-earbuds,5999,Yes,Yes,Type-C,V5.4,Yes,40mAh,400mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Zero Wave Neo Wireless Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-wave-neo-wireless-earbuds,3949,Yes,Yes,Type-C,V5.3,Yes,30 mAh,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Air R03 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/air-r03-tws-wireless-earbuds,1799,Yes,No,Type-C,V5.3,Yes,45mAh,360mAh
P-3 Tws Wireless Earbuds with silicone pouch,https://priceoye.pk/wireless-earbuds/assorted/p-3-tws-wireless-earbuds-with-silicone-pouch,1749,Yes,No,Type-C,V5.3,Yes,No,250mAh
Oneplus Bullets Wireless Z2 Neckband,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-bullets-wireless-z2-neckband,6799,No,Yes,Type-C,V5.0,No,30 mAh,No
M47 Wireless Earphone Plus Bluetooth Speaker,https://priceoye.pk/wireless-earbuds/assorted/m47-wireless-earphone-plus-bluetooth-speaker,2399,No,Yes,No,V5.3,Yes,No,No
Audionic Airbud Battlebuds Pro,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-battlebuds-pro,4399,Yes,Yes,Type-C,V5.4,Yes,40mAh,400mAh
P47 Wireless Bluetooth Stereo Headphones,https://priceoye.pk/wireless-earbuds/assorted/p47-wireless-bluetooth-stereo-headphones,899,No,Yes,Micro-USB,V4.1,Yes,250MAH,No
Products That Go Together,https://priceoye.pk/wireless-earbuds/xinji/xinji-stone-m1-tws-earbud-premium-sound-smart-touch-controls-bluetooth-calling-feature-and-extended-batter-life,53499,Yes,No,Type-C,V5.2,yes,No,300mah
Zero Wave Wireless Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-wave-wireless-earbuds,3949,Yes,Yes,Type-C,V5.3,No,30 mAh,No
Amgras future A3 pro,https://priceoye.pk/wireless-earbuds/assorted/amgras-future-a3-pro,2999,No,Yes,Type-C,V5.2,Yes,40mAh,400 mAh
Yolo mercury H2 Wireless Headphone,https://priceoye.pk/wireless-earbuds/yolo/yolo-mercury-h2-wireless-headphone,5299,Yes,No,Type-C,V5.4,No,No,500mAh
Nothing CMF Buds 2a,https://priceoye.pk/wireless-earbuds/nothing/nothing-cmf-buds-2a,9499,Yes,Yes,Type-C,V5.4,Yes,43mAh,460mAh
QCY T18 MeloBuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-t18-melobuds,6299,Yes,Yes,No,V5.2,Yes,No,No
Sony WH-1000XM5 Wireless ANC Headphones,https://priceoye.pk/wireless-earbuds/sony/sony-wh-1000xm5-wireless-anc-headphones,73999,Yes,No,Type-C,v5.2,Yes,No,No
Audionic Airbud 595 Flip Earbuds,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-595-flip-earbuds,4399,Yes,Yes,Type-C,v5.3,Yes,500 mAh,40 mAh
M Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/m-pro-wireless-earbuds,1499,Yes,Yes,Type-C,V5.0,Yes,45mAh,360mAh
Zero J-10C Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-j-10c-earbuds,5949,Yes,Yes,Type-C,V5.4,Yes,40mAh,700mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Joyroom Mini Portable TWS Headphone (JR-TL1 Pro),https://priceoye.pk/wireless-earbuds/joyroom/joyroom-mini-portable-tws-headphone-jr-tl1,4999,No,Yes,No,V5.1,Yes,50mAh,300mAh
Soundpeats Air 5 Bluetooth Headphone,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-air-5-bluetooth-headphones,14099,Yes,Yes,Type-C,V5.0,No,30 mAh,No
XINJI STONE M1 TWS EARBUDS,https://priceoye.pk/wireless-earbuds/xinji/xinji-stone-m1-tws-earbuds,4599,No,No,Type-C,V5.3,No,30 mAh,No
Zero Arcade 800 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-arcade-800-wireless-earbuds,4949,Yes,Yes,Type-C,V5.3,Yes,40mAh,550mAh
